epoch,step,train_loss,val_loss
0,74,,1.801308274269104
0,74,2.0112080574035645,
1,149,,1.670066237449646
1,149,1.710052251815796,
2,224,,1.6318846940994263
2,224,1.6348234415054321,
3,299,,1.6105009317398071
3,299,1.6062135696411133,
4,374,,1.5978809595108032
4,374,1.589858055114746,
5,449,,1.588724136352539
5,449,1.5784202814102173,
6,524,,1.5811946392059326
6,524,1.56993567943573,
7,599,,1.576107144355774
7,599,1.5636625289916992,
8,674,,1.5715439319610596
8,674,1.5587950944900513,
9,749,,1.5673327445983887
9,749,1.5546143054962158,
